id,loan_amount,issue_date,term,grade,int_rate,purpose,loan_status,fico_range,dti,credit_utilization,annual_income,home_ownership,state,monthly_installment,outstanding_principal,principal_repaid,interest_received,total_payment,service_fee
1,9950.00,1/6/13, 36 months,B,0.141,debt_consolidation,Fully Paid,695-699,23.680,0.745,30000.00,OWN,OR,340.51,0.00,9950.00,2021.94,11971.94,119.72
2,3000.00,1/14/13, 36 months,D,0.178,debt_consolidation,Current,665-669,7.610,0.785,47000.00,RENT,CA,108.12,998.07,2001.93,808.71,2810.64,28.11
3,17500.00,2/9/13, 36 months,B,0.141,debt_consolidation,Fully Paid,665-669,12.190,0.860,75000.00,RENT,CA,598.88,0.00,17500.00,1509.09,19009.09,190.09
4,25000.00,3/16/13, 36 months,B,0.111,debt_consolidation,Charged Off,710-714,27.520,0.791,87000.00,RENT,WA,820.13,0.00,13565.09,3656.86,17221.95,172.22
5,14000.00,4/3/13, 36 months,C,0.163,debt_consolidation,Current,685-689,25.180,0.914,49000.00,RENT,AR,494.21,4162.49,9837.51,3502.78,13340.29,133.40
6,9500.00,4/7/13, 36 months,B,0.121,debt_consolidation,In Grace Period,685-689,23.040,0.401,58280.00,MORTGAGE,FL,316.09,3836.73,5663.27,1606.81,7270.08,72.70
7,15000.00,4/9/13, 36 months,D,0.178,credit_card,Current,680-684,32.420,0.666,37500.00,OWN,CA,540.56,5903.08,9096.92,3876.52,12973.44,129.73
8,17600.00,4/16/13, 36 months,C,0.143,credit_card,Fully Paid,700-704,10.930,0.931,160000.00,RENT,NH,604.36,0.00,17600.00,508.24,18108.24,181.08
9,19650.00,4/16/13, 60 months,C,0.163,debt_consolidation,Charged Off,680-684,17.520,0.799,55000.00,MORTGAGE,WA,480.89,0.00,3533.83,3674.82,7176.54,94.89
10,14000.00,4/18/13, 36 months,B,0.121,credit_card,Current,735-739,9.150,0.320,72000.00,RENT,NJ,465.81,6052.60,7947.40,2300.42,10247.82,102.48
11,13650.00,4/19/13, 36 months,C,0.158,debt_consolidation,Fully Paid,670-674,20.220,0.764,39000.00,MORTGAGE,IL,478.55,0.00,13650.00,1613.19,15263.19,152.63
12,25000.00,5/20/13, 60 months,F,0.238,credit_card,Current,670-674,13.450,0.928,69500.00,RENT,VA,715.73,18987.62,6012.38,9733.68,15746.06,157.46
13,7000.00,5/22/13, 36 months,C,0.158,debt_consolidation,Current,695-699,28.590,0.721,108000.00,RENT,PA,245.41,3120.79,3879.21,1517.01,5396.22,53.96
14,20000.00,5/29/13, 36 months,B,0.121,debt_consolidation,Fully Paid,670-674,14.040,0.513,63000.00,MORTGAGE,AZ,665.44,0.00,20000.00,3273.91,23273.91,232.74
15,24600.00,5/30/13, 36 months,B,0.111,debt_consolidation,Current,715-719,12.260,0.713,68000.00,MORTGAGE,CT,807.01,539.36,24060.64,3702.85,27763.49,277.63
16,6000.00,6/21/13, 36 months,B,0.131,debt_consolidation,Current,670-674,13.120,0.728,90000.00,MORTGAGE,NJ,202.31,2786.08,3213.92,1034.59,4248.51,42.49
17,12000.00,6/23/13, 36 months,C,0.137,credit_card,Current,690-694,20.700,0.910,100000.00,RENT,NY,408.27,6277.20,5722.80,2034.13,7756.93,77.57
18,30000.00,6/30/13, 36 months,D,0.195,credit_card,Current,690-694,26.300,0.841,75000.00,MORTGAGE,NC,1107.59,16334.61,13665.39,7378.82,21044.21,210.44
19,20000.00,8/4/13, 36 months,D,0.195,major_purchase,Current,705-709,19.730,0.328,87500.00,RENT,NY,738.39,11442.08,8557.92,4733.10,13291.02,132.91
20,14000.00,8/9/13, 36 months,C,0.143,debt_consolidation,Current,665-669,8.890,0.331,78000.00,RENT,CA,480.53,8130.91,5869.09,2294.28,8163.37,81.63
21,20000.00,8/18/13, 60 months,C,0.151,credit_card,Current,660-664,12.080,0.412,75000.00,MORTGAGE,SC,476.85,15761.17,4238.83,3867.62,8106.45,81.06
22,8000.00,9/18/13, 36 months,D,0.195,debt_consolidation,Fully Paid,700-704,13.560,0.832,50000.00,RENT,TX,295.36,0.00,8000.00,1374.23,9374.23,93.74
23,15000.00,9/20/13, 36 months,B,0.120,debt_consolidation,Fully Paid,680-684,7.010,0.894,68000.00,MORTGAGE,CT,498.15,0.00,15000.00,1560.96,16560.96,165.61
24,13500.00,9/28/13, 60 months,D,0.195,credit_card,Fully Paid,680-684,19.640,0.628,57000.00,OWN,TX,354.08,0.00,13500.00,437.07,13937.07,139.37
25,19200.00,9/29/13, 36 months,A,0.076,debt_consolidation,Current,705-709,13.740,0.797,70000.00,MORTGAGE,LA,598.30,10682.53,8517.47,1646.46,10163.93,101.64
26,2700.00,10/10/13, 36 months,C,0.171,credit_card,Current,660-664,4.880,0.878,32000.00,RENT,FL,96.40,1667.25,1032.75,509.65,1542.40,15.42
27,2500.00,10/22/13, 36 months,B,0.130,debt_consolidation,Fully Paid,670-674,12.750,0.644,24000.00,RENT,NY,84.23,0.00,2500.00,363.46,2863.46,28.63
28,8000.00,11/5/13, 36 months,C,0.150,debt_consolidation,Current,665-669,26.530,0.374,53000.00,RENT,CA,277.25,5094.18,2905.82,1252.15,4157.97,41.58
29,13800.00,11/15/13, 36 months,C,0.145,credit_card,Current,670-674,23.550,0.984,66000.00,MORTGAGE,NY,474.81,8393.13,5406.87,2190.09,7596.96,75.97
30,8000.00,12/7/13, 36 months,B,0.097,debt_consolidation,Current,660-664,13.180,0.682,65000.00,MORTGAGE,WY,256.90,4727.80,3272.20,838.20,4110.40,41.10
31,24925.00,12/9/13, 36 months,D,0.176,debt_consolidation,Current,700-704,29.660,0.690,56000.00,MORTGAGE,IN,895.74,16093.51,8831.49,4603.58,13435.07,134.35
32,17475.00,12/19/13, 60 months,E,0.224,debt_consolidation,Current,690-694,30.080,0.816,92000.00,MORTGAGE,MN,486.63,14727.19,2747.81,4551.64,7299.45,72.99
33,28000.00,12/20/13, 36 months,B,0.135,debt_consolidation,Current,700-704,23.050,0.646,83000.00,RENT,GA,950.60,16935.68,11064.32,4145.28,15209.60,152.10
34,24000.00,1/3/14, 36 months,A,0.076,major_purchase,Fully Paid,715-719,5.650,0.002,90000.00,RENT,NY,747.88,0.00,24000.00,1818.46,25818.46,258.18
35,20000.00,1/7/14, 36 months,A,0.089,credit_card,Current,715-719,22.380,0.775,56000.00,MORTGAGE,CA,635.07,12847.23,7152.77,1738.21,8890.98,88.91
36,8000.00,1/11/14, 36 months,C,0.153,debt_consolidation,Fully Paid,665-669,10.290,0.656,70000.00,RENT,NJ,278.54,0.00,8000.00,666.17,8666.17,86.66
37,10000.00,1/12/14, 36 months,A,0.079,credit_card,Current,685-689,9.210,0.588,59000.00,RENT,CA,312.91,6388.94,3611.06,769.68,4380.74,43.81
38,14975.00,1/17/14, 36 months,C,0.146,home_improvement,In Grace Period,660-664,9.540,0.523,100000.00,MORTGAGE,FL,516.48,10303.51,4671.49,2042.75,6714.24,67.14
39,5850.00,1/18/14, 36 months,D,0.170,home_improvement,Current,675-679,14.100,0.454,28783.00,OWN,TX,208.54,3918.50,1931.50,988.06,2919.56,29.20
40,5950.00,1/19/14, 36 months,E,0.220,other,Current,660-664,21.520,0.770,46000.00,MORTGAGE,WA,227.21,4232.91,1717.09,1236.64,2953.73,29.54
41,18500.00,1/24/14, 36 months,C,0.146,credit_card,Current,680-684,23.690,0.711,85000.00,RENT,PA,638.06,13205.77,5294.23,2362.49,7656.72,76.57
42,12000.00,1/25/14, 36 months,B,0.125,debt_consolidation,Current,660-664,9.680,0.502,30000.00,RENT,TX,401.39,8485.44,3514.56,1302.12,4816.68,48.17
43,11000.00,1/29/14, 60 months,C,0.146,debt_consolidation,Current,690-694,23.600,0.594,30000.00,RENT,CA,259.62,9533.07,1466.93,1388.89,2855.82,28.56
44,10000.00,2/1/14, 36 months,A,0.089,debt_consolidation,Current,745-749,21.360,0.109,45000.00,RENT,IN,317.54,6957.39,3042.61,767.87,3810.48,38.10
45,13500.00,2/2/14, 60 months,C,0.156,debt_consolidation,Current,700-704,24.010,0.475,49920.00,MORTGAGE,AZ,325.51,11566.79,1933.21,1972.91,3906.12,39.06
46,24000.00,2/3/14, 60 months,D,0.170,debt_consolidation,Current,695-699,27.040,0.600,88000.00,RENT,MA,596.34,20969.56,3030.44,3529.30,6559.74,65.60
47,7750.00,2/4/14, 36 months,B,0.102,debt_consolidation,Current,750-754,21.800,0.293,140000.00,RENT,PA,250.62,5625.94,2124.06,632.76,2756.82,27.57
48,2400.00,2/7/14, 36 months,B,0.120,debt_consolidation,Current,700-704,10.270,0.880,54000.00,MORTGAGE,UT,79.71,1755.41,644.59,232.22,876.81,8.77
49,32500.00,2/15/14, 60 months,C,0.150,debt_consolidation,Current,720-724,25.140,0.754,119475.00,MORTGAGE,IL,773.01,28616.35,3883.65,3846.45,7730.10,77.30
50,12000.00,3/11/14, 36 months,A,0.084,debt_consolidation,Current,705-709,12.230,0.426,135000.00,RENT,OR,378.20,8647.12,3352.88,807.32,4160.20,41.60
51,3500.00,4/7/14, 36 months,A,0.071,major_purchase,Current,795-799,8.120,0.100,55000.00,OWN,FL,108.27,2508.39,991.61,199.36,1190.97,11.91
